item_id,item_name
0,Chips and Fresh Tomato Salsa
1,Izze
2,Nantucket Nectar
3,Chips and Tomatillo-Green Chili Salsa
4,Chicken Bowl
5,Side of Chips
6,Steak Burrito
7,Steak Soft Tacos
8,Chips and Guacamole
9,Chicken Crispy Tacos
10,Chicken Soft Tacos
11,Chicken Burrito
12,Canned Soda
13,Barbacoa Burrito
14,Carnitas Burrito
15,Carnitas Bowl
16,Bottled Water
17,Chips and Tomatillo Green Chili Salsa
18,Barbacoa Bowl
19,Chips
20,Chicken Salad Bowl
21,Steak Bowl
22,Barbacoa Soft Tacos
23,Veggie Burrito
24,Veggie Bowl
25,Steak Crispy Tacos
26,Chips and Tomatillo Red Chili Salsa
27,Barbacoa Crispy Tacos
28,Veggie Salad Bowl
29,Chips and Roasted Chili-Corn Salsa
30,Chips and Roasted Chili Corn Salsa
31,Carnitas Soft Tacos
32,Chicken Salad
33,Canned Soft Drink
34,Steak Salad Bowl
35,6 Pack Soft Drink
36,Chips and Tomatillo-Red Chili Salsa
37,Bowl
38,Burrito
39,Crispy Tacos
40,Carnitas Crispy Tacos
41,Steak Salad
42,Chips and Mild Fresh Tomato Salsa
43,Veggie Soft Tacos
44,Carnitas Salad Bowl
45,Barbacoa Salad Bowl
46,Salad
47,Veggie Crispy Tacos
48,Veggie Salad
49,Carnitas Salad
