order_id,quantity,item_id,choice_description_id,item_price
1,1,1,1,$3.39 
1,1,2,2,$3.39 
2,2,4,3,$16.98 
4,1,7,6,$9.25 
6,1,9,8,$8.75 
6,1,10,9,$8.75 
7,1,4,10,$11.25 
9,1,11,12,$8.49 
10,1,8,0,$4.45 
11,1,2,16,$3.39 
12,1,1,18,$3.39 
13,1,0,0,$2.39 
13,1,4,19,$8.49 
15,1,11,22,$8.49 
15,1,3,0,$2.39 
16,1,5,0,$1.69 
17,1,15,24,$8.99 
17,1,16,0,$1.09 
18,1,17,0,$2.95 
19,1,18,27,$11.75 
20,1,8,0,$4.45 
20,1,4,28,$11.25 
20,1,6,29,$11.75 
20,1,20,30,$8.75 
21,1,6,32,$8.99 
21,1,1,33,$3.39 
22,1,6,34,$8.99 
23,2,12,36,$2.18 
24,1,11,37,$10.98 
26,1,22,39,$9.25 
27,1,18,27,$11.75 
27,1,19,0,$2.15 
28,1,8,0,$4.45 
29,1,6,24,$8.99 
30,1,1,33,$3.39 
30,1,6,45,$8.99 
31,1,6,46,$8.99 
33,1,8,0,$4.45 
34,1,10,49,$8.75 
34,1,4,50,$8.75 
35,1,19,0,$2.15 
38,1,16,0,$1.09 
40,1,21,59,$11.75 
40,1,21,60,$11.75 
41,1,14,62,$11.75 
43,1,15,64,$11.75 
44,1,4,66,$8.75 
44,1,8,0,$4.45 
45,1,6,67,$8.99 
46,1,23,68,$8.49 
46,1,2,69,$3.39 
47,1,6,70,$8.99 
47,1,12,21,$1.09 
49,1,8,0,$4.45 
50,1,3,0,$2.39 
51,1,12,75,$1.09 
53,1,13,78,$9.25 
54,1,4,79,$11.25 
54,1,8,0,$4.45 
55,1,12,80,$1.09 
56,1,18,81,$9.25 
56,1,8,0,$4.45 
57,1,13,82,$11.75 
57,1,8,0,$4.45 
59,1,11,83,$10.98 
60,2,20,84,$22.50 
62,1,4,85,$11.25 
62,1,8,0,$4.45 
63,1,8,0,$4.45 
64,1,4,64,$11.25 
65,1,13,88,$11.75 
65,1,8,0,$4.45 
66,1,6,90,$11.48 
67,2,6,44,$17.98 
69,1,11,22,$8.49 
69,1,3,0,$2.39 
71,1,8,0,$4.45 
71,1,24,92,$11.25 
71,1,6,93,$11.75 
72,1,11,94,$10.98 
73,2,12,97,$2.18 
74,1,15,98,$11.48 
74,1,24,99,$8.49 
75,1,11,100,$11.25 
76,1,11,103,$8.49 
77,1,11,47,$8.49 
78,1,7,105,$8.99 
81,1,11,107,$8.49 
81,1,12,80,$1.09 
81,1,12,21,$1.09 
82,1,22,108,$9.25 
82,1,4,109,$8.75 
82,1,0,0,$2.95 
83,1,8,0,$4.45 
84,1,21,111,$11.48 
84,1,11,113,$8.49 
85,1,6,114,$8.99 
86,1,24,115,$11.25 
86,1,4,116,$8.75 
88,1,11,22,$8.49 
89,1,4,117,$10.98 
90,1,11,118,$11.25 
91,1,11,47,$8.49 
92,1,4,121,$8.75 
92,1,21,122,$9.25 
93,1,4,27,$11.25 
94,2,20,124,$22.50 
95,1,21,125,$11.75 
96,2,9,126,$17.50 
96,1,4,127,$8.75 
98,2,19,0,$4.30 
99,1,23,130,$11.25 
99,1,19,0,$2.15 
100,1,6,46,$8.99 
100,1,12,36,$1.09 
101,1,6,131,$8.99 
101,1,8,0,$3.99 
102,1,17,0,$2.95 
103,2,17,0,$5.90 
104,1,14,58,$9.25 
104,1,0,0,$2.95 
105,2,11,72,$17.50 
106,1,11,135,$8.75 
108,1,6,138,$8.99 
108,1,12,21,$1.09 
108,1,12,36,$1.09 
108,1,13,139,$8.99 
109,1,12,75,$1.09 
110,1,4,128,$8.75 
111,1,20,142,$8.75 
114,1,21,144,$11.75 
114,1,33,145,$1.25 
116,1,7,121,$9.25 
119,1,11,149,$8.49 
120,1,5,0,$1.69 
122,1,5,0,$1.69 
123,2,34,130,$23.78 
124,1,4,116,$8.75 
125,1,21,154,$9.25 
125,1,24,155,$8.75 
127,1,33,13,$1.25 
128,1,7,110,$9.25 
128,1,8,0,$4.45 
128,1,28,158,$11.25 
129,1,6,159,$11.75 
129,1,6,159,$11.75 
130,1,7,160,$8.99 
130,1,36,0,$2.39 
132,1,4,162,$11.25 
132,1,4,51,$8.75 
133,1,21,46,$8.99 
133,1,5,0,$1.69 
134,1,11,133,$11.25 
134,1,19,0,$2.15 
136,1,10,164,$8.49 
137,2,20,166,$17.50 
139,1,4,168,$8.75 
139,1,33,145,$1.25 
139,1,19,0,$2.15 
140,1,6,169,$11.08 
141,1,11,170,$8.49 
141,1,10,171,$8.49 
142,1,6,172,$8.99 
142,1,0,0,$2.39 
143,1,16,0,$1.50 
144,1,19,0,$2.15 
148,1,11,119,$8.75 
148,1,35,97,$6.49 
149,1,0,0,$2.95 
149,1,8,0,$4.45 
149,1,33,179,$1.25 
150,1,4,180,$8.49 
150,1,36,0,$2.39 
151,1,11,150,$8.49 
151,2,12,80,$2.18 
152,2,6,169,$22.16 
153,2,10,61,$17.50 
154,1,11,181,$8.75 
154,1,26,0,$2.95 
155,1,1,33,$3.39 
155,1,1,18,$3.39 
156,1,11,184,$8.49 
157,1,11,133,$11.25 
159,1,11,186,$11.25 
163,1,16,0,$1.50 
164,1,6,46,$8.99 
165,1,4,59,$11.25 
165,1,33,145,$1.25 
166,1,19,0,$2.15 
167,1,5,0,$1.69 
168,1,21,133,$11.75 
169,1,7,110,$9.25 
171,1,23,192,$11.25 
171,1,8,0,$4.45 
172,1,13,194,$8.99 
173,1,15,195,$8.99 
175,1,6,59,$11.75 
176,1,31,197,$9.25 
176,1,8,0,$4.45 
178,3,4,198,$32.94 
180,1,21,199,$11.48 
180,1,12,21,$1.09 
181,2,4,55,$17.50 
182,1,8,0,$4.45 
183,1,10,142,$8.75 
183,1,6,181,$9.25 
184,1,11,122,$8.75 
184,1,0,0,$2.95 
186,1,10,204,$10.98 
186,1,21,205,$11.48 
186,1,27,206,$11.48 
187,1,6,44,$8.99 
187,1,5,0,$1.69 
188,1,15,24,$8.99 
188,1,12,80,$1.09 
189,1,2,16,$3.39 
190,1,25,208,$8.99 
190,1,12,21,$1.09 
191,1,10,71,$8.75 
192,1,11,209,$11.25 
192,1,26,0,$2.95 
193,3,37,211,$22.20 
194,1,6,12,$8.99 
195,1,11,63,$8.75 
195,1,31,203,$9.25 
195,1,4,162,$11.25 
196,1,4,43,$8.75 
196,1,11,214,$11.25 
196,1,0,0,$2.95 
197,1,5,0,$1.69 
199,1,4,216,$8.75 
199,1,8,0,$4.45 
202,1,18,219,$11.48 
202,1,12,75,$1.09 
203,1,10,52,$11.25 
203,1,16,0,$1.50 
204,1,11,220,$10.58 
204,1,5,0,$1.69 
205,1,14,132,$9.25 
205,1,23,27,$11.25 
205,1,4,200,$8.75 
205,1,6,72,$9.25 
205,1,11,41,$8.75 
205,1,11,121,$8.75 
206,1,21,10,$11.75 
206,1,8,0,$4.45 
207,1,7,222,$9.25 
207,1,8,0,$4.45 
208,1,23,224,$8.49 
209,1,21,225,$9.25 
210,1,13,227,$9.25 
211,1,6,228,$11.75 
211,1,10,52,$11.25 
212,2,15,27,$23.50 
212,1,33,145,$1.25 
213,1,4,229,$8.49 
214,1,38,230,$7.40 
215,1,24,232,$8.75 
215,1,19,0,$2.15 
217,1,38,233,$7.40 
217,1,39,234,$7.40 
217,1,39,235,$7.40 
218,1,8,0,$3.99 
219,1,21,194,$8.99 
221,1,20,239,$8.75 
221,1,20,181,$8.75 
222,1,11,240,$11.25 
224,1,8,0,$3.99 
225,1,15,242,$9.25 
225,1,6,243,$9.25 
225,2,16,0,$3.00 
225,1,33,97,$1.25 
226,1,13,244,$9.25 
227,1,4,215,$8.75 
229,2,6,169,$22.16 
230,1,6,247,$9.25 
231,1,24,226,$11.25 
231,1,19,0,$2.15 
231,1,21,51,$9.25 
231,1,8,0,$4.45 
232,1,13,248,$9.25 
232,1,30,0,$2.95 
233,1,11,250,$8.75 
233,1,33,97,$1.25 
233,1,33,97,$1.25 
234,1,20,166,$8.75 
234,1,8,0,$4.45 
235,1,13,256,$11.75 
236,1,6,176,$9.25 
